Sex_female,Pclass,SibSp,Parch,Embarked_C,Embarked_Q,Embarked_S,Age
1,2,0,0,0,0,1,28
0,3,0,0,0,0,1,30
0,1,0,2,0,0,1,4
1,2,0,1,0,0,1,13
0,1,0,0,0,0,1,34
1,3,2,1,1,0,0,5
0,1,0,0,0,0,1,52
0,2,1,2,0,0,1,36
0,3,1,0,0,0,1,30
0,1,0,0,1,0,0,30
0,1,1,0,1,0,0,49
0,3,0,0,0,0,1,30
0,3,0,0,1,0,0,29
0,1,0,0,0,0,1,65
1,1,1,0,0,0,1,30
1,2,0,0,0,0,1,50
0,3,0,0,0,1,0,30
0,1,0,0,0,0,1,48
0,3,0,0,0,0,1,34
0,1,0,0,0,0,1,47
0,2,0,0,0,0,1,48
0,3,0,0,0,0,1,30
0,3,0,0,0,0,1,38
0,2,0,0,0,0,1,30
0,1,0,0,0,0,1,56
0,3,0,0,0,1,0,30
1,3,2,1,1,0,0,1
0,3,0,0,0,0,1,30
0,3,0,0,0,0,1,38
1,2,1,2,0,0,1,33
1,2,0,0,1,0,0,23
1,3,0,0,0,0,1,22
0,1,0,0,0,0,1,30
0,2,1,0,0,0,1,34
0,3,1,0,0,0,1,29
0,3,0,0,0,0,1,22
1,3,0,1,0,0,1,2
0,3,5,2,0,0,1,9
0,2,0,0,0,0,1,30
0,3,0,0,0,0,1,50
1,3,0,0,0,0,1,63
0,1,1,0,1,0,0,25
1,3,3,1,0,0,1,30
1,1,1,0,0,0,1,35
0,1,0,0,1,0,0,58
0,3,0,0,0,0,1,30
0,3,1,1,0,0,1,9
0,3,1,0,0,0,1,30
0,3,0,0,0,0,1,21
0,1,0,0,0,0,1,55
0,1,0,0,1,0,0,71
0,3,0,0,0,0,1,21
0,3,0,0,1,0,0,30
1,1,1,0,1,0,0,54
0,3,0,0,0,0,1,30
1,1,1,2,0,0,1,25
0,3,0,0,0,0,1,24
0,3,0,0,0,0,1,17
1,3,0,0,0,1,0,21
1,3,0,0,0,1,0,30
1,3,0,0,0,0,1,37
1,1,0,0,0,0,1,16
0,1,1,0,1,0,0,18
1,2,0,2,0,0,1,33
0,1,0,0,0,0,1,30
0,3,0,0,0,0,1,28
0,3,0,0,0,0,1,26
0,3,0,0,0,1,0,29
0,3,0,0,0,0,1,30
0,1,0,0,0,0,1,36
1,1,1,0,1,0,0,54
0,3,0,0,0,0,1,24
0,1,0,0,0,0,1,47
1,2,0,0,0,0,1,34
0,3,0,0,0,1,0,30
1,2,1,0,0,0,1,36
0,3,0,0,0,0,1,32
1,1,0,0,0,0,1,30
0,3,0,0,0,0,1,22
0,3,0,0,1,0,0,30
1,1,0,1,1,0,0,44
0,3,0,0,1,0,0,30
0,3,0,0,0,1,0,40
1,2,0,0,0,0,1,50
0,1,0,0,0,0,1,30
0,3,0,0,0,0,1,39
0,2,2,1,0,0,1,23
1,2,1,1,0,0,1,2
0,3,0,0,1,0,0,30
0,3,1,1,1,0,0,17
1,3,0,2,1,0,0,30
1,3,0,0,0,0,1,30
1,2,0,2,0,0,1,7
0,1,0,0,0,0,1,45
1,1,0,0,1,0,0,30
0,3,0,0,0,0,1,30
1,1,0,2,1,0,0,22
1,1,0,2,0,0,1,36
1,3,4,2,0,0,1,9
1,3,4,2,0,0,1,11
0,2,1,0,0,0,1,32
0,1,1,0,1,0,0,50
0,1,0,0,0,0,1,64
1,2,1,0,0,0,1,19
0,2,0,0,1,0,0,30
0,3,1,1,0,0,1,33
0,2,1,1,0,0,1,8
0,1,0,2,1,0,0,17
0,2,0,0,0,0,1,27
0,3,0,0,0,1,0,30
0,3,0,0,1,0,0,22
1,3,0,0,0,0,1,22
0,1,0,0,0,0,1,62
1,1,1,0,1,0,0,48
0,1,0,0,1,0,0,30
1,1,1,1,0,0,1,39
1,3,1,0,0,0,1,36
0,3,0,0,0,1,0,30
0,3,0,0,0,0,1,40
0,2,0,0,0,0,1,28
0,3,0,0,0,0,1,30
1,3,0,0,0,0,1,30
0,3,2,0,0,0,1,24
0,3,0,0,0,0,1,19
1,3,0,4,0,0,1,29
0,3,0,0,1,0,0,30
0,3,0,0,0,0,1,32
0,2,0,0,0,0,1,62
1,1,2,0,0,0,1,53
0,1,0,0,0,0,1,36
1,3,0,0,0,1,0,30
0,3,0,0,0,0,1,16
0,3,0,0,0,0,1,19
1,2,0,0,0,0,1,34
1,1,1,0,0,0,1,39
1,3,1,0,1,0,0,30
0,3,0,0,0,0,1,32
1,2,1,1,0,0,1,25
1,1,1,1,1,0,0,39
0,2,0,0,0,0,1,54
0,1,0,0,1,0,0,36
0,3,0,0,1,0,0,30
1,1,0,2,0,0,1,18
0,2,0,0,0,0,1,47
0,1,1,1,1,0,0,60
0,3,0,0,0,0,1,22
0,3,0,0,0,0,1,30
0,3,0,0,0,0,1,35
1,1,1,0,1,0,0,52
0,3,0,0,0,0,1,47
1,3,0,2,0,1,0,30
0,2,1,0,0,0,1,37
0,3,1,1,0,0,1,36
1,2,0,0,0,0,1,30
0,3,0,0,0,0,1,49
0,3,0,0,1,0,0,30
0,1,1,0,1,0,0,49
1,2,2,1,0,0,1,24
0,3,0,0,0,0,1,30
0,1,0,0,0,0,1,30
0,3,0,0,0,0,1,44
0,1,0,0,1,0,0,35
0,3,1,0,0,0,1,36
0,3,0,0,0,0,1,30
0,1,0,0,0,0,1,27
1,2,1,2,1,0,0,22
1,1,0,0,0,0,1,40
1,3,1,5,0,0,1,39
0,3,0,0,0,0,1,30
1,3,1,0,0,1,0,30
0,3,0,0,0,1,0,30
0,3,0,0,0,0,1,35
1,2,1,2,0,0,1,24
0,3,1,1,0,0,1,34
1,3,1,0,0,0,1,26
1,2,2,1,0,0,1,4
0,2,0,0,0,0,1,26
0,3,1,0,1,0,0,27
0,1,1,0,0,0,1,42
0,3,1,1,1,0,0,20
0,3,0,0,0,0,1,21
0,3,0,0,0,0,1,21
0,1,0,0,0,0,1,61
0,2,0,0,0,1,0,57
1,1,0,0,0,0,1,21
0,3,0,0,0,0,1,26
0,3,0,0,0,1,0,30
0,1,0,0,0,0,1,80
0,3,0,0,0,0,1,51
0,1,0,0,1,0,0,32
0,1,0,0,0,0,1,30
1,3,3,2,0,0,1,9
1,2,0,0,0,0,1,28
0,3,0,0,0,0,1,32
0,2,1,1,0,0,1,31
1,3,0,5,0,0,1,41
0,3,1,0,0,0,1,30
0,3,0,0,0,0,1,20
1,1,0,0,1,0,0,24
1,3,3,2,0,0,1,2
0,3,0,0,0,0,1,30
1,3,2,1,1,0,0,1
0,1,1,0,1,0,0,48
0,3,0,0,0,0,1,19
0,1,0,0,1,0,0,56
0,3,0,0,0,0,1,30
1,3,0,0,0,0,1,23
0,3,0,0,0,0,1,30
1,2,0,1,0,0,1,18
0,3,0,0,0,0,1,21
1,3,0,0,0,1,0,30
1,3,0,0,0,1,0,18
0,2,2,0,0,0,1,24
0,3,0,0,0,0,1,30
1,3,1,1,0,1,0,32
0,2,0,0,0,0,1,23
0,1,0,2,1,0,0,58
0,1,2,0,0,0,1,50
0,3,0,0,1,0,0,40
0,1,0,0,0,0,1,47
0,3,0,0,0,0,1,36
0,3,1,0,0,0,1,20
0,2,2,0,0,0,1,32
0,2,0,0,0,0,1,25
0,3,0,0,0,0,1,30
0,3,0,0,0,0,1,43
1,1,1,0,0,0,1,30
1,2,1,1,0,0,1,40
0,1,1,0,0,0,1,31
0,2,0,0,0,0,1,70
0,2,0,0,0,0,1,31
0,2,0,0,0,0,1,30
0,3,0,0,0,0,1,18
0,3,0,0,0,0,1,24
1,3,0,0,0,0,1,18
1,3,1,6,0,0,1,43
0,1,0,1,1,0,0,36
1,3,0,0,0,1,0,30
0,1,0,0,1,0,0,27
0,3,0,0,0,0,1,20
0,3,5,2,0,0,1,14
0,2,1,1,0,0,1,60
0,2,1,2,1,0,0,25
0,3,4,1,0,0,1,14
0,3,0,0,0,0,1,19
0,3,0,0,0,0,1,18
1,1,0,1,0,0,1,15
0,1,1,0,0,0,1,31
1,3,0,1,1,0,0,4
0,3,0,0,0,0,1,30
0,3,0,0,1,0,0,25
0,1,0,0,0,0,1,60
0,2,0,0,0,0,1,52
0,3,0,0,0,0,1,44
1,3,0,0,0,1,0,30
0,1,1,1,1,0,0,49
0,3,0,0,0,0,1,42
1,1,1,0,1,0,0,18
0,1,0,0,0,0,1,35
1,3,0,1,1,0,0,18
0,3,0,0,0,1,0,25
0,3,1,0,0,0,1,26
0,2,0,0,0,0,1,39
1,2,0,0,0,0,1,45
0,1,0,0,0,0,1,42
1,1,0,0,0,0,1,22
0,3,1,1,1,0,0,30
1,1,0,0,1,0,0,24
0,1,0,0,0,0,1,30
0,1,1,0,0,0,1,48
0,3,0,0,0,0,1,29
0,2,0,0,0,0,1,52
0,3,0,0,0,0,1,19
1,1,0,0,1,0,0,38
1,2,0,0,0,0,1,27
0,3,0,0,0,1,0,30
0,3,0,0,0,0,1,33
1,2,0,1,0,0,1,6
0,3,1,0,0,0,1,17
0,2,0,0,0,0,1,34
0,2,0,0,0,0,1,50
0,1,1,0,0,0,1,27
0,3,0,0,0,0,1,20
1,2,3,0,0,0,1,30
1,3,0,0,0,1,0,30
0,2,1,0,0,0,1,25
1,3,1,0,0,0,1,25
1,1,0,0,0,0,1,29
0,3,0,0,1,0,0,11
0,2,0,0,0,0,1,30
0,2,0,0,0,0,1,23
0,2,0,0,0,0,1,23
0,3,0,0,0,0,1,28
1,3,1,3,0,0,1,48
0,1,0,0,1,0,0,35
0,3,0,0,0,0,1,30
0,3,0,0,0,0,1,30
0,1,0,0,0,0,1,30
0,1,1,0,0,0,1,36
1,1,2,2,1,0,0,21
0,3,1,0,0,0,1,24
0,3,0,0,0,0,1,31
0,1,1,1,0,0,1,70
0,3,1,1,0,0,1,16
1,2,0,0,0,0,1,30
0,1,1,0,0,0,1,19
0,3,0,0,0,1,0,31
1,2,1,1,0,0,1,4
0,3,0,1,0,0,1,6
0,3,0,0,0,0,1,33
0,3,0,0,0,0,1,23
1,2,1,2,0,0,1,48
0,2,1,1,0,0,1,1
0,3,0,0,0,0,1,28
0,2,0,0,0,0,1,18
0,3,0,0,0,0,1,34
1,1,0,0,0,0,1,33
0,3,0,0,0,0,1,30
0,3,0,0,0,0,1,41
0,3,0,0,1,0,0,20
1,1,1,2,0,0,1,36
0,3,0,0,0,0,1,16
1,1,1,0,0,0,1,51
0,1,0,0,1,0,0,30
1,3,0,0,0,1,0,30
0,3,1,0,0,1,0,30
0,3,0,0,0,0,1,32
0,3,0,0,0,0,1,24
0,3,0,0,0,0,1,48
1,2,0,0,0,0,1,57
0,3,0,0,1,0,0,30
1,2,1,3,0,0,1,54
0,3,0,0,0,0,1,18
0,3,0,0,0,1,0,30
1,3,0,0,0,0,1,5
0,3,0,0,0,1,0,30
1,1,0,1,0,0,1,43
1,3,0,0,1,0,0,13
1,1,1,0,0,0,1,17
0,1,0,0,0,0,1,29
0,3,1,2,0,0,1,30
0,3,0,0,0,0,1,25
0,3,0,0,0,0,1,25
1,3,0,0,0,0,1,18
0,3,4,1,0,1,0,8
0,3,1,2,0,0,1,1
0,1,0,0,1,0,0,46
0,3,0,0,0,1,0,30
0,2,0,0,0,0,1,16
1,3,8,2,0,0,1,30
0,1,0,0,1,0,0,30
0,3,0,0,0,0,1,25
0,2,0,0,0,0,1,39
1,1,0,0,0,0,1,49
1,3,0,0,0,0,1,31
0,3,0,0,1,0,0,30
1,3,1,1,0,0,1,30
0,2,0,0,0,0,1,34
1,2,1,1,0,0,1,31
0,1,1,2,0,0,1,11
0,3,0,1,1,0,0,0
0,3,0,0,0,0,1,27
0,3,0,0,0,0,1,31
0,1,0,0,0,0,1,39
1,3,0,0,0,0,1,18
0,2,0,0,0,0,1,39
1,1,1,0,0,0,1,33
0,3,0,0,0,0,1,26
0,3,0,0,0,0,1,39
0,2,0,0,0,0,1,35
1,3,4,2,0,0,1,6
0,3,0,0,0,0,1,30
0,1,0,0,0,0,1,30
1,3,0,0,0,0,1,23
0,2,1,1,1,0,0,31
0,3,0,0,0,0,1,43
0,3,3,2,0,0,1,10
1,1,1,1,0,0,1,52
0,3,0,0,0,0,1,27
0,1,0,0,0,0,1,38
1,3,0,1,0,0,1,27
0,3,4,1,0,0,1,2
0,3,0,0,0,1,0,30
0,3,0,0,0,0,1,30
0,2,0,2,1,0,0,1
0,3,0,0,0,1,0,30
1,1,0,0,0,0,0,62
1,3,1,0,1,0,0,15
0,2,1,1,0,0,1,1
0,3,0,0,1,0,0,30
0,3,0,0,0,0,1,23
0,3,0,0,0,0,1,18
1,1,1,1,1,0,0,39
0,3,0,0,0,0,1,21
0,3,0,0,0,0,1,30
0,3,0,0,0,0,1,32
0,1,0,0,1,0,0,30
0,3,0,0,0,0,1,20
0,2,0,0,0,0,1,16
1,1,0,0,1,0,0,30
0,3,0,0,1,0,0,34
0,3,0,0,0,0,1,17
0,3,0,0,0,0,1,42
0,3,8,2,0,0,1,30
0,3,0,0,1,0,0,35
0,2,0,1,0,0,1,28
1,1,1,0,1,0,0,30
0,3,4,2,0,0,1,4
0,3,0,0,0,0,1,74
1,3,1,1,1,0,0,9
1,1,0,1,0,0,1,16
1,2,1,0,0,0,1,44
1,3,0,1,0,0,1,18
1,1,1,1,0,0,1,45
0,1,0,0,0,0,1,51
1,3,0,3,1,0,0,24
0,3,0,0,1,0,0,30
0,3,2,0,0,0,1,41
0,2,1,0,0,0,1,21
1,1,0,0,0,0,1,48
1,3,8,2,0,0,1,30
0,2,0,0,0,0,1,24
1,2,0,0,0,0,1,42
1,2,1,0,1,0,0,27
0,1,0,0,0,0,1,31
0,3,0,0,0,0,1,30
0,3,1,1,0,0,1,4
0,3,0,0,0,0,1,26
1,1,1,1,0,0,1,47
0,1,0,0,0,0,1,33
0,3,0,0,0,0,1,47
1,2,1,0,1,0,0,28
1,3,0,0,1,0,0,15
0,3,0,0,0,0,1,20
0,3,0,0,0,0,1,19
0,3,0,0,0,0,1,30
1,1,0,1,1,0,0,56
1,2,0,1,0,0,1,25
0,3,0,0,0,0,1,33
1,3,0,0,0,0,1,22
0,2,0,0,0,0,1,28
0,3,0,0,0,0,1,25
1,3,0,5,0,1,0,39
0,2,0,0,0,0,1,27
1,1,0,0,0,0,1,19
1,3,1,2,0,0,1,30
0,1,0,0,1,0,0,26
0,3,0,0,0,1,0,32
